AwardType,Name,Project,SubjectArea,Species,2000 (FY01),2001 (FY02),2002 (FY03),2003 (FY04),2004 (FY05),2005 (FY06),2006 (FY07),2007 (FY08),2008 (FY09),2009 (FY10),2010 (FY11),2011 (FY12),2012 (FY13),2013 (FY14),2014 (FY15),2015 (FY16),2016 (FY17),2017 (FY18),2018 (FY19),2019 (FY20)
ResearchProjects,Andrews,Behavior of transient killer whales,Marine mammals,Orca,,,,,,,,,,,,, ,53930.00, ,,,,,
ResearchProjects,Oliveira/Crapo,Replacing ethoxyquin in fishmeal,Seafood Science,Pollock,,,,,,,,,,,,,,101793.00,,,,,,
ResearchProjects,Andrews,Vital rates in Russian SSL rookeries,Marine mammals,Sea lions,,,,,,,,,,,,,,91687.00,88396.00,,,,,
ResearchProjects,Knapp,Modeling: fisheries management ,Marine Resource Economics,Groundfish,,,,,,,,,,,,,,286887.00,113112.00, , ,,,
ResearchProjects,Mellish,SSL reproduction & survival ,Marine mammals,Pollock,,,,,,,,,,,,,,144602.00,46163.00,,,,,
ResearchProjects,Quinn,Effect of handling on skates  ,Bycatch Species,Sharks & Rays,,,,,,,,,,,,,,,70598.00,70000.00,,,,
ResearchProjects,Fong/Oliveira,Developing pet treats from pollock skins,Seafood Science,Pollock,,,,,,,,,,,,,,,96757.00,,,,,
ResearchProjects,Beaudreau ,Interactions of groundfish predators,Ecosystem,Groundfish,,,,,,,,,,,,,,,61040.00,,61528.00,46026.00,32922.00,
ResearchProjects,McPhee,Effects of Asian pink and chum salmon  ,Bycatch Species,Salmon,,,,,,,,,,,,,,,62469.00,,62568.00,,,
ResearchProjects,Fong/Oliveira/Smith,Nutritional value of Alaska pollock  ,Seafood Science,Pollock,,,,,,,,,,,,,,,80500.00,0.00,77542.00,,,
ResearchProjects,Adkison/Westley,Drivers of AYK Chinook salmon survival,Bycatch Species,Salmon,,,,,,,,,,,,,,,,103925.00,103246.00,,,
ResearchProjects,Kruse,Decline in Pacific halibut size at age,Bycatch Species,Halibut,,,,,,,,,,,,,,,,76618.00,,,,
ResearchProjects,Burns/Testa,Maternal foraging of Northern Fur Seals,Marine mammals,Fur Seals,,,,,,,,,,,,,,,,,90277.00,51904.00,7775.00,
ResearchProjects,Fong/Park,Gel enhancement of Alaska Pollock surimi,Seafood Science,Pollock,,,,,,,,,,,,,,,,,63044.00,61897.00,,
ResearchProjects,Fong/Sannito,Alternative product forms for Pollock roe,Seafood Science,Pollock,,,,,,,,,,,,,,,,,68877.00,,,
ResearchProjects,Rea/Wade,"Behavior of ""resident"" killer whales",Marine mammals,Orca,,,,,,,,,,,,,,,,,47626.00,37322.00,14769.00,
ResearchProjects,Fong et al,Development of value-added market opportunities for pollock co-products (dietary supplements from milt),Seafood Science,Pollock,,,,,,,,,,,,,,,,,,73442.00,61125.00,
ResearchProjects,Hopcroft,First-year pollock and their zooplankton predators in the northern Gulf of Alaska,Ecosystem,Pollock,,,,,,,,,,,,,,,,,,59839.00,63779.00,66228.00
ResearchProjects,McPhee et al,Improved resolution of chum salmon genetic stock identification,Bycatch Species,Salmon,,,,,,,,,,,,,,,,,,167633.00,0.00,
