,AwardType,Name,Project,SubjectArea,Species,Year,Value
437,Misc,Kruse/Tyler,Book: Fishes Catches Science,NA,NA,X2004..FY05.,22965
438,Misc,Knapp,Symposium on MSFCMA Reauthorization,NA,NA,X2004..FY05.,NA
439,Misc,Castellini/Weisenberg,UAF-UW Seminar Exchange,NA,NA,X2004..FY05.,NA
440,Misc,Sutton/Rosenberger,Increasing grad experiential learning,NA,NA,X2004..FY05.,NA
441,Misc,Atkinson,Matt Meyers Travel Fund,NA,NA,X2004..FY05.,NA
442,Misc,Quinn,Workshop:Spatial Distribution Pollock,Stock dynamics,Pollock,X2004..FY05.,NA
443,Misc,Atkinson,Graduate Student Support,NA,NA,X2004..FY05.,NA
444,Misc,Christie,Wakefield Symposium Support,NA,NA,X2004..FY05.,NA
445,Misc,Sigman,AK Seafood Industry K-12,Seafood Science,NA,X2004..FY05.,NA
446,Misc,Criddle,Book: Pollock in a Sea of Change,Marine Resource Economics,Pollock,X2004..FY05.,NA
447,GraduateFellowship,Kray Van Kirk,Multispecies age-structured assessment,Stock dynamics,Pollock,X2004..FY05.,NA
448,GraduateFellowship,Sarah Miller,Oceanography and salmon survival,Bycatch Species,Salmon,X2004..FY05.,NA
449,GraduateFellowship,Adam Zaleski,Factors influencing SSL Populations,Marine mammals,Sea lions,X2004..FY05.,NA
450,GraduateFellowship,Tadayasu Uchiyama,Pollock predators and competitors in the EBS,Stock dynamics,Pollock,X2004..FY05.,NA
451,GraduateFellowship,Julie Nielsen,Multi-scale movement of demersal fish,Bycatch Species,Halibut,X2004..FY05.,NA
452,GraduateFellowship,James Strong,Bioeconomic model of EBS pollock,Marine Resource Economics,Pollock,X2004..FY05.,NA
453,GraduateFellowship,Elizabeth Figus,Monitoring incidental catch species utilizing local fisheries knowledge,Bycatch Species,Halibut,X2004..FY05.,NA
454,GraduateFellowship,Cory Graham,Growth Survival and Recruitment of Chinook Salmon in SE Alaska,Bycatch Species,Salmon,X2004..FY05.,NA
455,GraduateFellowship,Kaitlyn Manishin,Salmon shark predation impacts on Chinook salmon production,Bycatch Species,Salmon,X2004..FY05.,NA
456,ResearchProjects,Knapp,Markets for Alaska pollock products,Marine Resource Economics,Pollock,X2005..FY06.,NA
457,ResearchProjects,Atkinson,Metabolic condition in sea lions,Marine mammals,Sea lions,X2005..FY06.,NA
458,ResearchProjects,Horning,Validation transmitters in sea lion,Marine mammals,Sea lions,X2005..FY06.,NA
459,ResearchProjects,Musgrave,Hydrographic data collecting,Ocean Science,Food web,X2005..FY06.,NA
460,ResearchProjects,Goering,Interaction & exam of variability,Ocean Science,Food web,X2005..FY06.,NA
461,ResearchProjects,Atkinson,Capture & holding-transient sea lions,Marine mammals,Sea lions,X2005..FY06.,NA
462,ResearchProjects,Springer,Diet and stress hormones in SSL,Marine mammals,Sea lions,X2005..FY06.,NA
463,ResearchProjects,Knapp,Future Russian pollock supply,Marine Resource Economics,Pollock,X2005..FY06.,NA
464,ResearchProjects,Henrichs,Sinking particles and pelagic webs,Ocean Science,Food web,X2005..FY06.,NA
465,ResearchProjects,Springer,Distribution of age 2 salmon,Bycatch Species,Salmon,X2005..FY06.,NA
466,ResearchProjects,Springer,Competition of SSL & comm fisheries,Marine mammals,Sea lions,X2005..FY06.,NA
467,ResearchProjects,Worthy,Killer whales & the decline of SSL,Marine mammals,Sea lions,X2005..FY06.,NA
468,ResearchProjects,Jewett,Kvichak bay smolt study,Bycatch Species,Salmon,X2005..FY06.,NA
469,ResearchProjects,Foy,Quality of species in habitat units,Ecosystem,Food web,X2005..FY06.,NA
470,ResearchProjects,Gharrett,Chinook salmon bycatch DNA,Bycatch Species,Salmon,X2005..FY06.,NA
471,ResearchProjects,Quinn,Fishing induces declines in pollock,Stock dynamics,Pollock,X2005..FY06.,NA
472,ResearchProjects,Knapp,Producer cooperative organizations,Marine Resource Economics,Pollock,X2005..FY06.,NA
473,ResearchProjects,Wynne,Shallow water nearshore fish assembly,Ecosystem,Groundfish,X2005..FY06.,NA
474,ResearchProjects,Springer,Jellyfish impact on food web,Ecosystem,Food web,X2005..FY06.,NA
475,ResearchProjects,Kruse,Examination of maturation-pollock,Stock dynamics,Pollock,X2005..FY06.,NA
476,ResearchProjects,Norcross,Environmental predictors of pollock,Stock dynamics,Pollock,X2005..FY06.,NA
477,ResearchProjects,Mellish,Integrating science and tradition,Marine mammals,Sea lions,X2005..FY06.,NA
478,ResearchProjects,Foy/Buck,Metabolic perf. of pollock,Stock dynamics,Pollock,X2005..FY06.,NA
479,ResearchProjects,Finney,Food web dynamics-Bering Sea,Ecosystem,Food web,X2005..FY06.,NA
480,ResearchProjects,Gharrett,Develop DNA markers-Chum,Bycatch Species,Salmon,X2005..FY06.,74434
481,ResearchProjects,Trites,Changes in Steller Sea Lion skull ,Marine mammals,Sea lions,X2005..FY06.,45850
482,ResearchProjects,Kate Wynne,Predation on Northern fur seals in the Pribilof Is.,Marine mammals,Fur Seals,X2005..FY06.,66479
483,ResearchProjects,Konar,Essential larval/juvenile fish habitat . . . ,Ecosystem,Food web,X2005..FY06.,72001
484,ResearchProjects,Quinn,Acoustic data logger,Stock dynamics,Pollock,X2005..FY06.,176852
485,ResearchProjects,Mellish,Integration science and tradition,Marine mammals,Sea lions,X2005..FY06.,NA
486,ResearchProjects,Kruse,Local and traditional knowledge,Marine mammals,Sea lions,X2005..FY06.,NA
487,ResearchProjects,Springer,Causes of Northern Fur Seal decline,Marine mammals,Fur Seals,X2005..FY06.,NA
488,ResearchProjects,Gallucci/Foy,Bycatch & sharks in Bering Sea,Bycatch Species,Sharks & Rays,X2005..FY06.,NA
489,ResearchProjects,Castlinni,Walleye pollock stock distribution and growth.,Stock dynamics,Pollock,X2005..FY06.,NA
490,ResearchProjects,Gharrett,Combining genetics and population,Bycatch Species,Rockfish,X2005..FY06.,NA
491,ResearchProjects,Johnson,Bering Sea temperatures/walleye,Stock dynamics,Pollock,X2005..FY06.,NA
492,ResearchProjects,Oliveira,Purification of pollock oil,Seafood Science,Pollock,X2005..FY06.,NA
493,ResearchProjects,Mellish,Assess behavior/physiology,Marine mammals,Sea lions,X2005..FY06.,NA
494,ResearchProjects,Springer,Fatty acid comp forage species,Ecosystem,Food web,X2005..FY06.,NA
495,ResearchProjects,Atkinson,Maternal investment impact on SSL pup  ,Marine mammals,Sea lions,X2005..FY06.,NA
496,ResearchProjects,Mathis,Impacts of ocean acidification,Ocean Science,Food web,X2005..FY06.,NA
497,ResearchProjects,Hillgruber,Feeding patterns prey selection,Ecosystem,Food web,X2005..FY06.,NA
498,ResearchProjects,Mellish,Consummate & consumed predators,Marine mammals,Sea lions,X2005..FY06.,NA
499,ResearchProjects,Adkinson,Salmon initiative,Bycatch Species,Salmon,X2005..FY06.,NA
500,ResearchProjects,Kruse,Walleye pollock-maturity,Stock dynamics,Pollock,X2005..FY06.,NA
501,ResearchProjects,Quinn,Skates injuries-longline,Bycatch Species,Sharks & Rays,X2005..FY06.,NA
502,ResearchProjects,Walker,Augmenting SSL projects,Marine mammals,Sea lions,X2005..FY06.,NA
503,ResearchProjects,Andrews,Behavior of transient killer whales,Marine mammals,Orca,X2005..FY06.,NA
504,ResearchProjects,Oliveira/Crapo,Replacing ethoxyquin in fishmeal,Seafood Science,Pollock,X2005..FY06.,NA
505,ResearchProjects,Andrews,Vital rates in Russian SSL rookeries,Marine mammals,Sea lions,X2005..FY06.,NA
506,ResearchProjects,Knapp,Modeling: fisheries management ,Marine Resource Economics,Groundfish,X2005..FY06.,NA
507,ResearchProjects,Mellish,SSL reproduction & survival ,Marine mammals,Pollock,X2005..FY06.,NA
508,ResearchProjects,Quinn,Effect of handling on skates  ,Bycatch Species,Sharks & Rays,X2005..FY06.,NA
509,ResearchProjects,Fong/Oliveira,Developing pet treats from pollock skins,Seafood Science,Pollock,X2005..FY06.,NA
510,ResearchProjects,Beaudreau ,Interactions of groundfish predators,Ecosystem,Groundfish,X2005..FY06.,NA
511,ResearchProjects,McPhee,Effects of Asian pink and chum salmon  ,Bycatch Species,Salmon,X2005..FY06.,NA
512,ResearchProjects,Fong/Oliveira/Smith,Nutritional value of Alaska pollock  ,Seafood Science,Pollock,X2005..FY06.,NA
513,ResearchProjects,Adkison/Westley,Drivers of AYK Chinook salmon survival,Bycatch Species,Salmon,X2005..FY06.,NA
514,ResearchProjects,Kruse,Decline in Pacific halibut size at age,Bycatch Species,Halibut,X2005..FY06.,NA
515,ResearchProjects,Burns/Testa,Maternal foraging of Northern Fur Seals,Marine mammals,Fur Seals,X2005..FY06.,NA
516,ResearchProjects,Fong/Park,Gel enhancement of Alaska Pollock surimi,Seafood Science,Pollock,X2005..FY06.,NA
517,ResearchProjects,Fong/Sannito,Alternative product forms for Pollock roe,Seafood Science,Pollock,X2005..FY06.,NA
518,ResearchProjects,Rea/Wade,"Behavior of ""resident"" killer whales",Marine mammals,Orca,X2005..FY06.,NA
519,ResearchProjects,Fong et al,Development of value-added market opportunities for pollock co-products (dietary supplements from milt),Seafood Science,Pollock,X2005..FY06.,NA
520,ResearchProjects,Hopcroft,First-year pollock and their zooplankton predators in the northern Gulf of Alaska,Ecosystem,Pollock,X2005..FY06.,NA
521,ResearchProjects,McPhee et al,Improved resolution of chum salmon genetic stock identification,Bycatch Species,Salmon,X2005..FY06.,NA
522,ResearchProjects,Seitz,Further examination of the movement behavior and predation of Chinook salmon in the Bering Sea,Bycatch Species,Salmon,X2005..FY06.,NA
523,Misc,Merritt,Instruction in Fisheries Management,NA,NA,X2005..FY06.,9053
524,Misc,Sugai,NOSB Western Alaska Support,NA,NA,X2005..FY06.,NA
525,Misc,Whitledge,Keeping Mooring 2 Alive-Biophysical,Ocean Science,Food web,X2005..FY06.,NA
526,Misc,Henrichs,Keeping Mooring 2 Alive-Sinking Particles,Ocean Science,Food web,X2005..FY06.,NA
527,Misc,Cullenberg,Western AK Tech Training,NA,NA,X2005..FY06.,NA
528,Misc,Kruse/Tyler,Book: Fishes Catches Science,NA,NA,X2005..FY06.,NA
529,Misc,Knapp,Symposium on MSFCMA Reauthorization,NA,NA,X2005..FY06.,31340
530,Misc,Castellini/Weisenberg,UAF-UW Seminar Exchange,NA,NA,X2005..FY06.,NA
531,Misc,Sutton/Rosenberger,Increasing grad experiential learning,NA,NA,X2005..FY06.,NA
532,Misc,Atkinson,Matt Meyers Travel Fund,NA,NA,X2005..FY06.,NA
533,Misc,Quinn,Workshop:Spatial Distribution Pollock,Stock dynamics,Pollock,X2005..FY06.,NA
534,Misc,Atkinson,Graduate Student Support,NA,NA,X2005..FY06.,NA
535,Misc,Christie,Wakefield Symposium Support,NA,NA,X2005..FY06.,NA
536,Misc,Sigman,AK Seafood Industry K-12,Seafood Science,NA,X2005..FY06.,NA
537,Misc,Criddle,Book: Pollock in a Sea of Change,Marine Resource Economics,Pollock,X2005..FY06.,NA
538,GraduateFellowship,Kray Van Kirk,Multispecies age-structured assessment,Stock dynamics,Pollock,X2005..FY06.,NA
539,GraduateFellowship,Sarah Miller,Oceanography and salmon survival,Bycatch Species,Salmon,X2005..FY06.,NA
540,GraduateFellowship,Adam Zaleski,Factors influencing SSL Populations,Marine mammals,Sea lions,X2005..FY06.,NA
541,GraduateFellowship,Tadayasu Uchiyama,Pollock predators and competitors in the EBS,Stock dynamics,Pollock,X2005..FY06.,NA
542,GraduateFellowship,Julie Nielsen,Multi-scale movement of demersal fish,Bycatch Species,Halibut,X2005..FY06.,NA
543,GraduateFellowship,James Strong,Bioeconomic model of EBS pollock,Marine Resource Economics,Pollock,X2005..FY06.,NA
544,GraduateFellowship,Elizabeth Figus,Monitoring incidental catch species utilizing local fisheries knowledge,Bycatch Species,Halibut,X2005..FY06.,NA
545,GraduateFellowship,Cory Graham,Growth Survival and Recruitment of Chinook Salmon in SE Alaska,Bycatch Species,Salmon,X2005..FY06.,NA
546,GraduateFellowship,Kaitlyn Manishin,Salmon shark predation impacts on Chinook salmon production,Bycatch Species,Salmon,X2005..FY06.,NA
547,ResearchProjects,Knapp,Markets for Alaska pollock products,Marine Resource Economics,Pollock,X2006..FY07.,NA
548,ResearchProjects,Atkinson,Metabolic condition in sea lions,Marine mammals,Sea lions,X2006..FY07.,NA
549,ResearchProjects,Horning,Validation transmitters in sea lion,Marine mammals,Sea lions,X2006..FY07.,NA
550,ResearchProjects,Musgrave,Hydrographic data collecting,Ocean Science,Food web,X2006..FY07.,NA
551,ResearchProjects,Goering,Interaction & exam of variability,Ocean Science,Food web,X2006..FY07.,NA
552,ResearchProjects,Atkinson,Capture & holding-transient sea lions,Marine mammals,Sea lions,X2006..FY07.,NA
553,ResearchProjects,Springer,Diet and stress hormones in SSL,Marine mammals,Sea lions,X2006..FY07.,NA
554,ResearchProjects,Knapp,Future Russian pollock supply,Marine Resource Economics,Pollock,X2006..FY07.,NA
555,ResearchProjects,Henrichs,Sinking particles and pelagic webs,Ocean Science,Food web,X2006..FY07.,NA
556,ResearchProjects,Springer,Distribution of age 2 salmon,Bycatch Species,Salmon,X2006..FY07.,NA
557,ResearchProjects,Springer,Competition of SSL & comm fisheries,Marine mammals,Sea lions,X2006..FY07.,NA
558,ResearchProjects,Worthy,Killer whales & the decline of SSL,Marine mammals,Sea lions,X2006..FY07.,NA
559,ResearchProjects,Jewett,Kvichak bay smolt study,Bycatch Species,Salmon,X2006..FY07.,NA
560,ResearchProjects,Foy,Quality of species in habitat units,Ecosystem,Food web,X2006..FY07.,NA
561,ResearchProjects,Gharrett,Chinook salmon bycatch DNA,Bycatch Species,Salmon,X2006..FY07.,NA
562,ResearchProjects,Quinn,Fishing induces declines in pollock,Stock dynamics,Pollock,X2006..FY07.,NA
563,ResearchProjects,Knapp,Producer cooperative organizations,Marine Resource Economics,Pollock,X2006..FY07.,NA
564,ResearchProjects,Wynne,Shallow water nearshore fish assembly,Ecosystem,Groundfish,X2006..FY07.,NA
565,ResearchProjects,Springer,Jellyfish impact on food web,Ecosystem,Food web,X2006..FY07.,NA
566,ResearchProjects,Kruse,Examination of maturation-pollock,Stock dynamics,Pollock,X2006..FY07.,NA
567,ResearchProjects,Norcross,Environmental predictors of pollock,Stock dynamics,Pollock,X2006..FY07.,NA
568,ResearchProjects,Mellish,Integrating science and tradition,Marine mammals,Sea lions,X2006..FY07.,NA
569,ResearchProjects,Foy/Buck,Metabolic perf. of pollock,Stock dynamics,Pollock,X2006..FY07.,48492
570,ResearchProjects,Finney,Food web dynamics-Bering Sea,Ecosystem,Food web,X2006..FY07.,NA
571,ResearchProjects,Gharrett,Develop DNA markers-Chum,Bycatch Species,Salmon,X2006..FY07.,67409
572,ResearchProjects,Trites,Changes in Steller Sea Lion skull ,Marine mammals,Sea lions,X2006..FY07.,NA
573,ResearchProjects,Kate Wynne,Predation on Northern fur seals in the Pribilof Is.,Marine mammals,Fur Seals,X2006..FY07.,NA
574,ResearchProjects,Konar,Essential larval/juvenile fish habitat . . . ,Ecosystem,Food web,X2006..FY07.,55303
575,ResearchProjects,Quinn,Acoustic data logger,Stock dynamics,Pollock,X2006..FY07.,NA
576,ResearchProjects,Mellish,Integration science and tradition,Marine mammals,Sea lions,X2006..FY07.,24867
577,ResearchProjects,Kruse,Local and traditional knowledge,Marine mammals,Sea lions,X2006..FY07.,90000
578,ResearchProjects,Springer,Causes of Northern Fur Seal decline,Marine mammals,Fur Seals,X2006..FY07.,53770
579,ResearchProjects,Gallucci/Foy,Bycatch & sharks in Bering Sea,Bycatch Species,Sharks & Rays,X2006..FY07.,NA
580,ResearchProjects,Castlinni,Walleye pollock stock distribution and growth.,Stock dynamics,Pollock,X2006..FY07.,NA
581,ResearchProjects,Gharrett,Combining genetics and population,Bycatch Species,Rockfish,X2006..FY07.,NA
582,ResearchProjects,Johnson,Bering Sea temperatures/walleye,Stock dynamics,Pollock,X2006..FY07.,NA
583,ResearchProjects,Oliveira,Purification of pollock oil,Seafood Science,Pollock,X2006..FY07.,NA
584,ResearchProjects,Mellish,Assess behavior/physiology,Marine mammals,Sea lions,X2006..FY07.,NA
585,ResearchProjects,Springer,Fatty acid comp forage species,Ecosystem,Food web,X2006..FY07.,NA
586,ResearchProjects,Atkinson,Maternal investment impact on SSL pup  ,Marine mammals,Sea lions,X2006..FY07.,NA
587,ResearchProjects,Mathis,Impacts of ocean acidification,Ocean Science,Food web,X2006..FY07.,NA
588,ResearchProjects,Hillgruber,Feeding patterns prey selection,Ecosystem,Food web,X2006..FY07.,NA
589,ResearchProjects,Mellish,Consummate & consumed predators,Marine mammals,Sea lions,X2006..FY07.,NA
590,ResearchProjects,Adkinson,Salmon initiative,Bycatch Species,Salmon,X2006..FY07.,NA
591,ResearchProjects,Kruse,Walleye pollock-maturity,Stock dynamics,Pollock,X2006..FY07.,NA
592,ResearchProjects,Quinn,Skates injuries-longline,Bycatch Species,Sharks & Rays,X2006..FY07.,NA
593,ResearchProjects,Walker,Augmenting SSL projects,Marine mammals,Sea lions,X2006..FY07.,NA
594,ResearchProjects,Andrews,Behavior of transient killer whales,Marine mammals,Orca,X2006..FY07.,NA
595,ResearchProjects,Oliveira/Crapo,Replacing ethoxyquin in fishmeal,Seafood Science,Pollock,X2006..FY07.,NA
596,ResearchProjects,Andrews,Vital rates in Russian SSL rookeries,Marine mammals,Sea lions,X2006..FY07.,NA
597,ResearchProjects,Knapp,Modeling: fisheries management ,Marine Resource Economics,Groundfish,X2006..FY07.,NA
598,ResearchProjects,Mellish,SSL reproduction & survival ,Marine mammals,Pollock,X2006..FY07.,NA
599,ResearchProjects,Quinn,Effect of handling on skates  ,Bycatch Species,Sharks & Rays,X2006..FY07.,NA
600,ResearchProjects,Fong/Oliveira,Developing pet treats from pollock skins,Seafood Science,Pollock,X2006..FY07.,NA
601,ResearchProjects,Beaudreau ,Interactions of groundfish predators,Ecosystem,Groundfish,X2006..FY07.,NA
602,ResearchProjects,McPhee,Effects of Asian pink and chum salmon  ,Bycatch Species,Salmon,X2006..FY07.,NA
603,ResearchProjects,Fong/Oliveira/Smith,Nutritional value of Alaska pollock  ,Seafood Science,Pollock,X2006..FY07.,NA
604,ResearchProjects,Adkison/Westley,Drivers of AYK Chinook salmon survival,Bycatch Species,Salmon,X2006..FY07.,NA
605,ResearchProjects,Kruse,Decline in Pacific halibut size at age,Bycatch Species,Halibut,X2006..FY07.,NA
606,ResearchProjects,Burns/Testa,Maternal foraging of Northern Fur Seals,Marine mammals,Fur Seals,X2006..FY07.,NA
607,ResearchProjects,Fong/Park,Gel enhancement of Alaska Pollock surimi,Seafood Science,Pollock,X2006..FY07.,NA
608,ResearchProjects,Fong/Sannito,Alternative product forms for Pollock roe,Seafood Science,Pollock,X2006..FY07.,NA
609,ResearchProjects,Rea/Wade,"Behavior of ""resident"" killer whales",Marine mammals,Orca,X2006..FY07.,NA
610,ResearchProjects,Fong et al,Development of value-added market opportunities for pollock co-products (dietary supplements from milt),Seafood Science,Pollock,X2006..FY07.,NA
611,ResearchProjects,Hopcroft,First-year pollock and their zooplankton predators in the northern Gulf of Alaska,Ecosystem,Pollock,X2006..FY07.,NA
612,ResearchProjects,McPhee et al,Improved resolution of chum salmon genetic stock identification,Bycatch Species,Salmon,X2006..FY07.,NA
613,ResearchProjects,Seitz,Further examination of the movement behavior and predation of Chinook salmon in the Bering Sea,Bycatch Species,Salmon,X2006..FY07.,NA
614,Misc,Merritt,Instruction in Fisheries Management,NA,NA,X2006..FY07.,NA
615,Misc,Sugai,NOSB Western Alaska Support,NA,NA,X2006..FY07.,NA
616,Misc,Whitledge,Keeping Mooring 2 Alive-Biophysical,Ocean Science,Food web,X2006..FY07.,NA
617,Misc,Henrichs,Keeping Mooring 2 Alive-Sinking Particles,Ocean Science,Food web,X2006..FY07.,25000
618,Misc,Cullenberg,Western AK Tech Training,NA,NA,X2006..FY07.,65937
619,Misc,Kruse/Tyler,Book: Fishes Catches Science,NA,NA,X2006..FY07.,NA
620,Misc,Knapp,Symposium on MSFCMA Reauthorization,NA,NA,X2006..FY07.,NA
621,Misc,Castellini/Weisenberg,UAF-UW Seminar Exchange,NA,NA,X2006..FY07.,NA
622,Misc,Sutton/Rosenberger,Increasing grad experiential learning,NA,NA,X2006..FY07.,NA
623,Misc,Atkinson,Matt Meyers Travel Fund,NA,NA,X2006..FY07.,NA
624,Misc,Quinn,Workshop:Spatial Distribution Pollock,Stock dynamics,Pollock,X2006..FY07.,NA
625,Misc,Atkinson,Graduate Student Support,NA,NA,X2006..FY07.,NA
626,Misc,Christie,Wakefield Symposium Support,NA,NA,X2006..FY07.,NA
627,Misc,Sigman,AK Seafood Industry K-12,Seafood Science,NA,X2006..FY07.,NA
628,Misc,Criddle,Book: Pollock in a Sea of Change,Marine Resource Economics,Pollock,X2006..FY07.,NA
629,GraduateFellowship,Kray Van Kirk,Multispecies age-structured assessment,Stock dynamics,Pollock,X2006..FY07.,NA
630,GraduateFellowship,Sarah Miller,Oceanography and salmon survival,Bycatch Species,Salmon,X2006..FY07.,NA
631,GraduateFellowship,Adam Zaleski,Factors influencing SSL Populations,Marine mammals,Sea lions,X2006..FY07.,NA
632,GraduateFellowship,Tadayasu Uchiyama,Pollock predators and competitors in the EBS,Stock dynamics,Pollock,X2006..FY07.,NA
633,GraduateFellowship,Julie Nielsen,Multi-scale movement of demersal fish,Bycatch Species,Halibut,X2006..FY07.,NA
634,GraduateFellowship,James Strong,Bioeconomic model of EBS pollock,Marine Resource Economics,Pollock,X2006..FY07.,NA
635,GraduateFellowship,Elizabeth Figus,Monitoring incidental catch species utilizing local fisheries knowledge,Bycatch Species,Halibut,X2006..FY07.,NA
636,GraduateFellowship,Cory Graham,Growth Survival and Recruitment of Chinook Salmon in SE Alaska,Bycatch Species,Salmon,X2006..FY07.,NA
637,GraduateFellowship,Kaitlyn Manishin,Salmon shark predation impacts on Chinook salmon production,Bycatch Species,Salmon,X2006..FY07.,NA
638,ResearchProjects,Knapp,Markets for Alaska pollock products,Marine Resource Economics,Pollock,X2007..FY08.,NA
639,ResearchProjects,Atkinson,Metabolic condition in sea lions,Marine mammals,Sea lions,X2007..FY08.,NA
640,ResearchProjects,Horning,Validation transmitters in sea lion,Marine mammals,Sea lions,X2007..FY08.,NA
641,ResearchProjects,Musgrave,Hydrographic data collecting,Ocean Science,Food web,X2007..FY08.,NA
642,ResearchProjects,Goering,Interaction & exam of variability,Ocean Science,Food web,X2007..FY08.,NA
643,ResearchProjects,Atkinson,Capture & holding-transient sea lions,Marine mammals,Sea lions,X2007..FY08.,NA
644,ResearchProjects,Springer,Diet and stress hormones in SSL,Marine mammals,Sea lions,X2007..FY08.,NA
645,ResearchProjects,Knapp,Future Russian pollock supply,Marine Resource Economics,Pollock,X2007..FY08.,NA
646,ResearchProjects,Henrichs,Sinking particles and pelagic webs,Ocean Science,Food web,X2007..FY08.,NA
647,ResearchProjects,Springer,Distribution of age 2 salmon,Bycatch Species,Salmon,X2007..FY08.,NA
648,ResearchProjects,Springer,Competition of SSL & comm fisheries,Marine mammals,Sea lions,X2007..FY08.,NA
649,ResearchProjects,Worthy,Killer whales & the decline of SSL,Marine mammals,Sea lions,X2007..FY08.,NA
650,ResearchProjects,Jewett,Kvichak bay smolt study,Bycatch Species,Salmon,X2007..FY08.,NA
651,ResearchProjects,Foy,Quality of species in habitat units,Ecosystem,Food web,X2007..FY08.,NA
652,ResearchProjects,Gharrett,Chinook salmon bycatch DNA,Bycatch Species,Salmon,X2007..FY08.,NA
653,ResearchProjects,Quinn,Fishing induces declines in pollock,Stock dynamics,Pollock,X2007..FY08.,NA
654,ResearchProjects,Knapp,Producer cooperative organizations,Marine Resource Economics,Pollock,X2007..FY08.,NA
655,ResearchProjects,Wynne,Shallow water nearshore fish assembly,Ecosystem,Groundfish,X2007..FY08.,NA
656,ResearchProjects,Springer,Jellyfish impact on food web,Ecosystem,Food web,X2007..FY08.,NA
657,ResearchProjects,Kruse,Examination of maturation-pollock,Stock dynamics,Pollock,X2007..FY08.,NA
658,ResearchProjects,Norcross,Environmental predictors of pollock,Stock dynamics,Pollock,X2007..FY08.,NA
659,ResearchProjects,Mellish,Integrating science and tradition,Marine mammals,Sea lions,X2007..FY08.,NA
660,ResearchProjects,Foy/Buck,Metabolic perf. of pollock,Stock dynamics,Pollock,X2007..FY08.,NA
661,ResearchProjects,Finney,Food web dynamics-Bering Sea,Ecosystem,Food web,X2007..FY08.,NA
662,ResearchProjects,Gharrett,Develop DNA markers-Chum,Bycatch Species,Salmon,X2007..FY08.,NA
663,ResearchProjects,Trites,Changes in Steller Sea Lion skull ,Marine mammals,Sea lions,X2007..FY08.,NA
664,ResearchProjects,Kate Wynne,Predation on Northern fur seals in the Pribilof Is.,Marine mammals,Fur Seals,X2007..FY08.,NA
665,ResearchProjects,Konar,Essential larval/juvenile fish habitat . . . ,Ecosystem,Food web,X2007..FY08.,NA
666,ResearchProjects,Quinn,Acoustic data logger,Stock dynamics,Pollock,X2007..FY08.,NA
667,ResearchProjects,Mellish,Integration science and tradition,Marine mammals,Sea lions,X2007..FY08.,NA
668,ResearchProjects,Kruse,Local and traditional knowledge,Marine mammals,Sea lions,X2007..FY08.,NA
669,ResearchProjects,Springer,Causes of Northern Fur Seal decline,Marine mammals,Fur Seals,X2007..FY08.,NA
670,ResearchProjects,Gallucci/Foy,Bycatch & sharks in Bering Sea,Bycatch Species,Sharks & Rays,X2007..FY08.,72378
671,ResearchProjects,Castlinni,Walleye pollock stock distribution and growth.,Stock dynamics,Pollock,X2007..FY08.,52000
672,ResearchProjects,Gharrett,Combining genetics and population,Bycatch Species,Rockfish,X2007..FY08.,73888
673,ResearchProjects,Johnson,Bering Sea temperatures/walleye,Stock dynamics,Pollock,X2007..FY08.,NA
674,ResearchProjects,Oliveira,Purification of pollock oil,Seafood Science,Pollock,X2007..FY08.,NA
675,ResearchProjects,Mellish,Assess behavior/physiology,Marine mammals,Sea lions,X2007..FY08.,NA
676,ResearchProjects,Springer,Fatty acid comp forage species,Ecosystem,Food web,X2007..FY08.,NA
677,ResearchProjects,Atkinson,Maternal investment impact on SSL pup  ,Marine mammals,Sea lions,X2007..FY08.,NA
678,ResearchProjects,Mathis,Impacts of ocean acidification,Ocean Science,Food web,X2007..FY08.,NA
679,ResearchProjects,Hillgruber,Feeding patterns prey selection,Ecosystem,Food web,X2007..FY08.,NA
680,ResearchProjects,Mellish,Consummate & consumed predators,Marine mammals,Sea lions,X2007..FY08.,NA
681,ResearchProjects,Adkinson,Salmon initiative,Bycatch Species,Salmon,X2007..FY08.,NA
682,ResearchProjects,Kruse,Walleye pollock-maturity,Stock dynamics,Pollock,X2007..FY08.,NA
683,ResearchProjects,Quinn,Skates injuries-longline,Bycatch Species,Sharks & Rays,X2007..FY08.,NA
684,ResearchProjects,Walker,Augmenting SSL projects,Marine mammals,Sea lions,X2007..FY08.,NA
685,ResearchProjects,Andrews,Behavior of transient killer whales,Marine mammals,Orca,X2007..FY08.,NA
686,ResearchProjects,Oliveira/Crapo,Replacing ethoxyquin in fishmeal,Seafood Science,Pollock,X2007..FY08.,NA
687,ResearchProjects,Andrews,Vital rates in Russian SSL rookeries,Marine mammals,Sea lions,X2007..FY08.,NA
688,ResearchProjects,Knapp,Modeling: fisheries management ,Marine Resource Economics,Groundfish,X2007..FY08.,NA
689,ResearchProjects,Mellish,SSL reproduction & survival ,Marine mammals,Pollock,X2007..FY08.,NA
690,ResearchProjects,Quinn,Effect of handling on skates  ,Bycatch Species,Sharks & Rays,X2007..FY08.,NA
691,ResearchProjects,Fong/Oliveira,Developing pet treats from pollock skins,Seafood Science,Pollock,X2007..FY08.,NA
692,ResearchProjects,Beaudreau ,Interactions of groundfish predators,Ecosystem,Groundfish,X2007..FY08.,NA
